95949,,39.1, -121.1<,,19741,,141,,8938,,343000,,13956,,19,,8188,,62224
92865,,33.83,-117.85,,19704,,5384,,6659,,441200,,366,,15,,6342,,85057
94503,,38.2,-122.23,,19681,,1519,,6064,,330300,,1296,,269,,5736,,82746
94706,,37.89, -122.29<br,,19615,,13287,,8429,,615600,,148,,0,,7915,,81206
93263,,35.5, -119.3<,,19582,,216,,5305,,131300,,9060,,0,,4936,,41448
90254,,33.86,-118.4,,19506,,13665,,10162,,1000001,,143,,59,,9550,,101655
93210,,36.2, -120.3<,,19504,,25,,4836,,148300,,77177,,30,,4317,,47088
95841,,38.66,-121.35,,19448,,4771,,8804,,171200,,408,,0,,7957,,36967
92264,,33.7,-116.5,,19383,,371,,17140,,245700,,5228,,23,,10677,,43246
92106,,32.73,-117.23,,19330,,3426,,8322,,834800,,564,,71,,7807,,82075
94127,,37.73,-122.46,,19289,,10895,,7801,,916900,,177,,0,,7511,,131351
94089,,37.4,-122,,19245,,3212,,7530,,168300,,599,,1,,7270,,85769
93444,,35,-120.5,,19244,,279,,7201,,390200,,6887,,103,,6559,,61751
93630,,36.7, -120.1<,,19162,,123,,5642,,171100,,15571,,112,,5270,,48115
92082,,33.3, -117.0<,,19037,,155,,6711,,439800,,12288,,8,,6209,,81835
92029,,33.08,-117.15,,19021,,804,,7364,,486900,,2365,,46,,7057,,71628
90015,,34.04,-118.27,,18986,,11100,,8245,,429100,,171,,0,,7420,,27393
93560,,34.9, -118.3<,,18910,,119,,7367,,124100,,15955,,26,,6469,,59142
91506,,34.17,-118.32,,18904,,7726,,7927,,520200,,245,,0,,7555,,71914
95138,,37.25,-121.74,,18889,,725,,5891,,714400,,2607,,0,,5705,,143261
92108,,32.77,-117.15,,18858,,4402,,11601,,285000,,428,,12,,10463,,63098
95110,,37.34,-121.91,,18730,,4014,,6339,,386200,,467,,0,,5723,,63184
92532,,33.71,-117.31,,18644,,1031,,6049,,234400,,1808,,0,,5465,,81807
94022,,37.36,-122.15,,18500,,1058,,7479,,1000001,,1749,,0,,7074,,165534
91345,,34.27,-118.46,,18496,,5705,,5412,,318800,,324,,1,,5192,,60352
94519,,37.99,-122,,18453,,4221,,7246,,337000,,437,,0,,6683,,70476
96161,,39.2, -120.4<,,18451,,101,,16285,,462800,,18182,,153,,7293,,67750
94019,,37.5, -122.4<,,18424,,350,,7096,,742500,,5260,,56,,6675,,100394
94564,,37.99,-122.28,,18287,,3271,,7127,,341700,,559,,46,,6746,,76960
91723,,34.08,-117.89,,18275,,7877,,6672,,367300,,232,,1,,6296,,61348
90265,,34.1, -118.8<,,18116,,168,,9033,,1000001,,10779,,728,,7174,,129750
90502,,33.83,-118.29,,18010,,8059,,5939,,340500,,223,,1,,5717,,63721
95330,,37.81,-121.34,,17853,,830,,5181,,191700,,2152,,51,,4731,,60887
95959,,39.4, -120.8<,,17838,,72,,8600,,389200,,24792,,144,,7513,,63132
94563,,37.87,-122.19,,17672,,1024,,6816,,974400,,1726,,1,,6563,,164173
91901,,32.8, -116.7<,,17403,,195,,6720,,472500,,8926,,78,,6345,,79792
93927,,36.2, -121.4<,,17547,,66,,4347,,171600,,26388,,109,,3858,,52642
95602,,38.99,-121.1,,17509,,355,,7496,,365100,,4937,,67,,6856,,64329
93241,,35.26,-118.91,,17489,,4240,,4202,,88300,,412,,0,,3960,,32490
91602,,34.15,-118.37,,17473,,8535,,9946,,600000,,205,,3,,9277,,66652
95519,,41,-124,,17432,,307,,7585,,304300,,5680,,144,,7223,,48914
93247,,36.2, -119.1<,,17423,,230,,4870,,154000,,7569,,1,,4591,,35799
93111,,34.45,-119.8,,17370,,2142,,6570,,754000,,811,,13,,6356,,95560
93015,,34.5, -118.9<,,17334,,226,,5147,,312400,,7656,,46,,4840,,57971
92270,,33.78,-116.43,,17220,,646,,14244,,518000,,2667,,39,,8830,,77526
94949,,38.07,-122.54,,17202,,1145,,7282,,573800,,1503,,123,,6902,,77308
94945,,38.13,-122.56,,17167,,660,,7020,,619200,,2601,,86,,6702,,83026
95819,,38.57,-121.44,,17141,,5067,,8036,,394600,,338,,17,,7593,,81076
94301,,37.44,-122.15,,16995,,7161,,8109,,1000001,,237,,0,,7579,,122473
93268,,35.2, -119.4<,,16897,,403,,6040,,123000,,4195,,0,,5309,,45024
95448,,38.7, -122.9<,,16852,,89,,7753,,580700,,18850,,56,,6655,,61952
93110,,34.44,-119.77,,16829,,1596,,6679,,734200,,1055,,12,,6337,,76215
92371,,34.4, -117.6<,,16763,,120,,6098,,133900,,13974,,0,,5370,,48451
92587,,33.7,-117.25,,16675,,2110,,6499,,255100,,790,,74,,5672,,67321
90245,,33.92,-118.4,,16654,,3049,,7410,,736500,,546,,38,,7085,,84341
90701,,33.87,-118.08,,16591,,10178,,4715,,402700,,163,,0,,4553,,59946
95366,,37.76,-121.12,,16575,,482,,5991,,304100,,3439,,34,,5661,,71560
94595,,37.87,-122.07,,16425,,3054,,10261,,379800,,538,,0,,9372,,57744
92618,,33.67,-117.74,,16366,,773,,8077,,516400,,2117,,4,,7202,,92862
92845,,33.78,-118.03,,16333,,7463,,5751,,472100,,219,,0,,5626,,89693
91208,,34.19,-118.25,,16245,,2354,,6342,,714000,,690,,5,,6106,,92532
96021,,39.9, -122.3<,,16097,,67,,6337,,149400,,23859,,267,,5632,,41099
93013,,34, -119.3<,,16091,,283,,6856,,608800,,5694,,33,,5880,,69766
94618,,37.85,-122.24,,16046,,6616,,7698,,857700,,243,,1,,7267,,116604
91204,,34.13,-118.26,,16032,,14263,,5969,,386100,,112,,0,,5639,,37634
92637,,33.61,-117.73,,16012,,4570,,12851,,198300,,350,,1,,11143,,36675
94702,,37.86,-122.29,,15979,,12543,,7959,,526900,,127,,0,,7358,,57457
93631,,36.5,-119.5,,15941,,199,,5587,,225900,,8023,,31,,5255,,55266
93930,,36.2, -121.0<,,15866,,44,,4260,,201000,,36007,,458,,3981,,47262
96022,,40.4, -122.4<,,15768,,65,,6443,,228700,,24204,,66,,5874,,53663
93728,,36.76,-119.82,,15743,,5145,,6366,,114900,,306,,0,,5817,,32215
94960,,38,-122.59,,15740,,2653,,6791,,895200,,593,,0,,6435,,108629
93648,,36.63,-119.52,,15719,,685,,3875,,112800,,2293,,0,,3644,,35499
95304,,37.7, -121.4<,,15706,,99,,4140,,381000,,15944,,349,,3786,,79029
95203,,37.95,-121.32,,15696,,2544,,5959,,155200,,617,,64,,5236,,39301
92055,,33.31,-117.4,,15655,,159,,388,,9847,,0,,366,,60313,,
92582,,33.81,-117.02,,15649,,846,,4661,,160300,,1850,,30,,4101,,58051
95422,,38.97,-122.64,,15585,,442,,8546,,97500,,3523,,860,,6138,,25460
95816,,38.58,-121.47,,15579,,7611,,10137,,427800,,205,,0,,9191,,49953
90623,,33.85,-118.04,,15554,,8582,,5215,,572100,,181,,2,,5072,,85100
93204,,35.9, -120.1<,,15529,,260,,2421,,121300,,5962,,0,,2232,,28794
95963,,39.7, -122.4<,,15493,,51,,5853,,221900,,30567,,574,,5445,,41738
