95139,,2219,,1296,,1497,,525,,371,,300,,182,,262,,434,,318,,554,,569,,
90401,,3006,,1640,,1826,,490,,300,,554,,455,,347,,563,,269,,629,,1039,,
92548,,1601,,1123,,2858,,555,,653,,438,,363,,175,,234,,54,,141,,111,,
96094,,1335,,1878,,2070,,1122,,644,,296,,317,,260,,297,,121,,107,,49,,
95316,,2326,,1573,,1343,,945,,675,,503,,320,,222,,420,,161,,352,,301,,
94028,,1844,,1625,,2095,,614,,185,,171,,250,,121,,173,,74,,193,,1688,,
95202,,516,,1001,,2570,,585,,388,,270,,108,,56,,30,,20,,19,,41,,
92342,,1837,,979,,2443,,385,,292,,536,,279,,300,,316,,137,,372,,199,,
90290,,2340,,1630,,1309,,523,,556,,203,,287,,332,,335,,231,,342,,1161,,
93428,,1288,,1600,,2612,,535,,604,,338,,349,,341,,237,,133,,198,,153,,
93656,,1584,,1160,,1950,,758,,538,,483,,378,,195,,207,,37,,88,,60,,
95005,,2067,,1465,,1631,,636,,359,,286,,344,,299,,417,,135,,389,,667,,
95658,,1647,,1456,,2375,,637,,378,,344,,269,,290,,296,,197,,286,,406,,
93924,,1679,,1554,,1747,,514,,409,,216,,363,,373,,325,,208,,260,,565,,
93267,,1259,,1623,,2029,,1054,,608,,548,,215,,121,,176,,63,,33,,64,,
92372,,1162,,824,,2189,,505,,247,,71,,212,,171,,315,,88,,151,,226,,
95683,,1772,,1452,,2106,,729,,230,,162,,278,,185,,358,,203,,486,,593,,
93022,,1901,,2024,,1820,,830,,593,,388,,622,,284,,319,,151,,266,,472,,
95631,,1413,,1333,,2258,,578,,262,,394,,285,,216,,412,,146,,252,,201,,
93240,,1039,,1023,,2414,,614,,614,,143,,108,,198,,63,,173,,91,,58,,
93615,,1256,,1151,,1514,,820,,689,,511,,214,,88,,40,,0,,10,,35,,
95470,,1672,,1527,,2015,,643,,650,,451,,350,,241,,344,,169,,212,,139,,
95987,,1536,,1523,,1154,,663,,657,,478,,541,,262,,273,,36,,52,,97,,
95626,,1655,,1112,,1733,,507,,500,,265,,422,,344,,316,,160,,111,,142,,
95971,,1379,,1523,,1741,,896,,361,,358,,198,,302,,223,,149,,268,,147,,
94105,,3511,,1080,,637,,222,,389,,98,,171,,92,,646,,109,,948,,1916,,
93270,,948,,1493,,1473,,1038,,516,,301,,182,,94,,183,,13,,41,,73,,
92861,,1814,,1272,,1861,,444,,203,,227,,262,,219,,236,,150,,319,,1026,,
93256,,1160,,816,,1434,,563,,492,,366,,345,,56,,95,,6,,35,,18,,
93609,,1374,,1651,,1468,,841,,805,,637,,227,,186,,185,,66,,20,,58,,
93427,,1630,,1536,,1227,,567,,572,,437,,199,,238,,477,,83,,187,,406,,
95467,,1421,,939,,1700,,495,,262,,222,,130,,397,,321,,156,,138,,239,,
96101,,1182,,1091,,1766,,600,,475,,310,,242,,242,,154,,101,,130,,19,,
