93256,,93256,,1160,,816,,1434,,563,,492,,366,,345,,56,,95,,6,,35
93609,,1374,,1651,,1468,,841,,805,,637,,227,,186,,185,,66,,20,,58
93427,,1630,,1536,,1227,,567,,572,,437,,199,,238,,477,,83,,187,,406
95467,,1421,,939,,1700,,495,,262,,222,,130,,397,,321,,156,,138,,239
96101,,1182,,1091,,1766,,600,,475,,310,,242,,242,,154,,101,,130,,19
93501,,1028,,855,,2209,,401,,409,,267,,230,,139,,184,,61,,117,,75
90094,,2735,,1151,,1061,,309,,148,,348,,260,,234,,436,,206,,575,,1370
95436,,1231,,1601,,1650,,594,,519,,385,,295,,295,,278,,155,,175,,136
95666,,1140,,935,,2883,,407,,286,,102,,269,,109,,282,,104,,346,,170
92363,,1131,,949,,1846,,474,,422,,336,,306,,209,,141,,31,,85,,76
95222,,1290,,879,,2293,,441,,269,,262,,214,,249,,266,,89,,169,,210
92382,,1584,,1158,,1682,,453,,479,,302,,262,,294,,330,,147,,294,,181
93460,,1900,,1273,,1464,,438,,433,,378,,262,,282,,428,,166,,305,,481
92315,,1267,,915,,2011,,422,,496,,380,,259,,96,,153,,108,,139,,129
94964,,167,,828,,3781,,451,,194,,58,,139,,49,,96,,0,,8,,0
93225,,1125,,1303,,1801,,632,,339,,212,,417,,104,,266,,54,,157,,247
95365,,907,,1457,,1360,,670,,677,,467,,319,,74,,67,,31,,59,,0
94158,,2854,,866,,1244,,275,,192,,425,,295,,376,,294,,176,,638,,1049
95672,,1717,,1081,,1549,,311,,388,,217,,319,,305,,371,,113,,179,,595
95709,,1325,,1090,,1654,,638,,239,,219,,250,,193,,220,,171,,196,,289
95692,,1281,,1035,,1298,,494,,330,,369,,273,,284,,200,,41,,179,,146
95446,,1126,,1273,,1698,,577,,425,,329,,204,,101,,251,,142,,164,,206
92003,,1196,,956,,1414,,439,,295,,368,,170,,180,,289,,63,,163,,185
92539,,716,,815,,1711,,439,,245,,236,,218,,147,,120,,21,,105,,0
95912,,1408,,860,,1315,,436,,416,,434,,350,,186,,175,,109,,43,,119
95685,,1236,,874,,1643,,419,,201,,303,,207,,305,,252,,68,,148,,207
92201,,14857,,12651,,17735,,6336,,6507,,4843,,3020,,2008,,1932,,832,,1204,,826
93660,,670,,859,,1456,,298,,548,,405,,126,,64,,43,,24,,0,,21
89061,,920,,818,,2028,,469,,117,,239,,292,,96,,169,,27,,116,,213
95722,,1190,,999,,1677,,422,,144,,196,,328,,238,,218,,166,,182,,295
96064,,1158,,1028,,1510,,558,,415,,275,,320,,163,,252,,74,,74,,55
93953,,1002,,965,,2077,,499,,240,,130,,127,,94,,100,,99,,178,,500
96088,,656,,906,,2368,,436,,308,,151,,72,,109,,108,,102,,171,,105
95665,,791,,1083,,1963,,674,,323,,100,,155,,107,,115,,68,,144,,188
