95939,,61,,85,,273,,46,,42,,17,,24,,7,,3,,3,,4,,0,,,,
96087,,207,,105,,204,,60,,52,,87,,34,,23,,4,,0,,19,,33,,,,
95979,,101,,103,,360,,43,,27,,18,,45,,33,,11,,0,,21,,6,,,,
93641,,29,,211,,305,,87,,19,,80,,14,,0,,0,,0,,26,,14,,,,
91917,,229,,39,,350,,28,,69,,0,,61,,0,,69,,0,,41,,0,,,,
93932,,219,,43,,123,,25,,11,,37,,4,,18,,40,,10,,35,,82,,,,
96038,,100,,96,,269,,43,,61,,21,,10,,11,,28,,3,,14,,5,,,,
93664,,182,,154,,240,,75,,64,,11,,36,,26,,21,,32,,31,,40,,,,
95914,,98,,136,,290,,58,,58,,29,,26,,8,,38,,0,,15,,2,,,,
92268,,184,,75,,254,,30,,0,,51,,49,,30,,29,,0,,26,,44,,,,
92135,,544,,144,,0,,46,,207,,265,,93,,27,,20,,1,,25,,4,,,,
94963,,105,,175,,92,,27,,88,,37,,31,,0,,29,,19,,23,,26,,,,
95950,,119,,160,,166,,49,,59,,94,,0,,20,,0,,22,,10,,25,,,,
96009,,80,,139,,153,,36,,66,,16,,45,,24,,4,,9,,3,,16,,,,
95941,,99,,140,,160,,48,,80,,0,,56,,0,,55,,0,,0,,0,,,,
92147,,329,,185,,0,,67,,242,,121,,44,,7,,11,,0,,22,,0,,,,
96006,,156,,111,,169,,27,,71,,55,,7,,14,,70,,12,,0,,11,,,,
92173,,7383,,5123,,9933,,2736,,3265,,2530,,1633,,967,,640,,395,,210,,130,,,,
95318,,227,,194,,28,,44,,0,,117,,46,,53,,112,,7,,10,,32,,,,
95335,,132,,77,,371,,36,,41,,56,,0,,0,,51,,25,,0,,0,,,,
90073,,23,,138,,612,,103,,31,,17,,7,,0,,1,,0,,2,,0,,,,
92305,,92,,90,,51,,73,,12,,12,,14,,12,,6,,0,,38,,15,,,,
93244,,48,,70,,130,,13,,28,,15,,15,,25,,10,,0,,12,,0,,,,
95554,,80,,163,,136,,139,,0,,35,,0,,15,,23,,8,,23,,0,,,,
95970,,135,,121,,168,,39,,35,,55,,45,,19,,28,,0,,19,,16,,,,
95653,,99,,57,,200,,34,,17,,57,,33,,6,,9,,0,,0,,0,,,,
96105,,82,,109,,97,,55,,19,,21,,37,,59,,0,,0,,0,,0,,,,
93452,,258,,78,,151,,34,,161,,10,,29,,25,,40,,0,,23,,14,,,,
95471,,78,,161,,71,,38,,52,,0,,85,,49,,15,,0,,0,,0,,,,
93531,,91,,94,,179,,23,,32,,34,,4,,0,,20,,18,,0,,54,,,,
95585,,84,,163,,130,,92,,50,,31,,29,,20,,7,,0,,3,,15,,,,
93928,,189,,17,,48,,0,,43,,56,,25,,27,,33,,0,,22,,0,,,,
95459,,121,,142,,145,,77,,47,,55,,14,,26,,0,,9,,24,,11,,,,
96094,,1335,,1878,,2070,,1122,,644,,296,,317,,260,,297,,121,,107,,49,,,,
92678,,224,,103,,61,,33,,24,,50,,3,,24,,20,,42,,66,,65,,,,
95254,,68,,204,,191,,130,,0,,0,,0,,0,,55,,0,,39,,48,,,,
96106,,44,,105,,75,,74,,0,,37,,0,,15,,0,,0,,14,,9,,,,
92335,,22638,,18832,,27907,,9657,,10215,,7567,,5398,,3603,,2793,,895,,848,,494,,,,
93665,,100,,241,,108,,117,,173,,0,,51,,0,,0,,0,,0,,0,,,,
96015,,153,,209,,286,,172,,98,,49,,15,,9,,0,,0,,19,,0,,,,
93621,,59,,83,,174,,71,,0,,0,,0,,14,,24,,0,,33,,0,,,,
95564,,204,,137,,78,,63,,60,,103,,21,,40,,33,,3,,10,,8,,,,
95428,,386,,527,,1017,,289,,210,,166,,71,,83,,73,,3,,12,,6,,,,
90743,,106,,97,,200,,28,,47,,28,,9,,14,,5,,14,,9,,49,,,,
93224,,113,,87,,158,,43,,18,,10,,30,,21,,13,,3,,24,,38,,,,
93541,,134,,205,,122,,21,,27,,69,,45,,152,,0,,25,,0,,0,,,,
92328,,200,,41,,32,,6,,36,,73,,51,,43,,27,,0,,5,,0,,,,
95233,,139,,107,,198,,59,,40,,0,,47,,62,,0,,14,,24,,0,,,,
96033,,96,,59,,269,,35,,7,,25,,21,,13,,16,,19,,15,,4,,,,
95607,,147,,78,,146,,7,,19,,0,,64,,8,,92,,8,,6,,21,,,,
95223,,556,,726,,1537,,208,,162,,194,,102,,159,,160,,134,,50,,113,,,,
95385,,117,,21,,125,,16,,8,,5,,67,,0,,13,,0,,29,,0,,,,
95983,,213,,128,,122,,70,,60,,37,,10,,23,,54,,0,,64,,23,,,,
95432,,29,,187,,83,,50,,46,,91,,29,,0,,0,,0,,0,,0,,,,
94922,,73,,188,,40,,92,,40,,89,,40,,0,,0,,0,,0,,0,,,,
95558,,53,,113,,129,,36,,33,,34,,20,,13,,13,,4,,0,,13,,,,
95697,,132,,36,,66,,36,,8,,23,,19,,39,,13,,0,,18,,12,,,,
96090,,86,,36,,165,,21,,21,,18,,5,,15,,20,,4,,18,,0,,,,
93652,,83,,67,,112,,51,,45,,16,,13,,9,,7,,0,,9,,0,,,,
95257,,47,,48,,219,,16,,7,,20,,20,,0,,15,,0,,17,,0,,,,
94548,,119,,36,,115,,16,,18,,9,,44,,10,,0,,3,,26,,29,,,,
92341,,24,,61,,192,,0,,23,,0,,38,,0,,13,,0,,11,,0,,,,
95555,,72,,102,,155,,45,,16,,27,,18,,5,,19,,11,,22,,11,,,,
94104,,91,,65,,55,,28,,34,,9,,11,,0,,0,,20,,0,,54,,,,
