90012,,7532,,5686,,13456,,3014,,3159,,1790,,1344,,727,,926,,544,,942,,772,,
91356,,9200,,6030,,9275,,2343,,2108,,1695,,1679,,1381,,1404,,661,,1412,,2547,,
91604,,11136,,7562,,5640,,2184,,1649,,1401,,1913,,1438,,2358,,812,,1963,,4980,,
93704,,7585,,5403,,7950,,2741,,2242,,1305,,1792,,1208,,1173,,640,,909,,978,,
93280,,4565,,5424,,10050,,2877,,2787,,1626,,873,,697,,650,,175,,129,,175,,
94580,,9108,,5367,,8186,,2219,,1723,,2262,,2082,,1578,,1677,,847,,1238,,849,,
94510,,9102,,6035,,6706,,2474,,1298,,1626,,1218,,1104,,1521,,771,,1906,,3219,,
93960,,4773,,4115,,13438,,1725,,2446,,1600,,1006,,638,,610,,251,,303,,309,,
91316,,10007,,6134,,7472,,2021,,2320,,1958,,1655,,1826,,2063,,715,,1215,,2368,,
94131,,11222,,5943,,6549,,1547,,1466,,1415,,1273,,1353,,1706,,949,,2349,,5107,,
90061,,6001,,4511,,8877,,2428,,2973,,2127,,983,,826,,713,,134,,249,,79,,
95354,,5380,,5101,,8369,,2844,,1930,,1475,,1213,,817,,895,,285,,506,,516,,
91504,,8830,,5169,,6670,,2231,,1720,,1553,,1447,,1311,,1504,,854,,1615,,1764,,
95815,,5365,,5489,,8578,,2570,,2658,,1644,,1359,,917,,870,,245,,358,,233,,
95531,,4695,,4541,,10773,,2507,,1513,,1287,,943,,412,,1113,,378,,605,,478,,
94530,,8119,,5819,,6639,,2062,,1392,,1528,,1421,,1385,,1364,,886,,1541,,2359,,
91201,,6829,,5326,,7433,,2160,,2434,,2101,,1071,,760,,1523,,555,,683,,868,,
93907,,6881,,3791,,6348,,1189,,1459,,1599,,1303,,1353,,1602,,476,,835,,856,,
95827,,5696,,4370,,5857,,2023,,1582,,1454,,1385,,1084,,916,,422,,774,,426,,
90603,,6893,,3382,,5846,,1382,,1178,,938,,1103,,873,,1434,,495,,1401,,1471,,
95818,,7132,,4282,,4884,,1859,,1487,,1057,,1011,,909,,1446,,608,,1438,,1599,,
93514,,4116,,3594,,4003,,1318,,1588,,1040,,999,,688,,883,,228,,504,,462,,
95320,,3905,,2637,,4004,,1256,,891,,1097,,652,,597,,815,,292,,532,,410,,
93646,,1627,,2727,,2702,,1784,,1114,,387,,412,,268,,258,,55,,38,,38,,
93620,,1385,,2641,,3092,,1252,,905,,673,,423,,296,,213,,68,,123,,73,,
