92140,,3435,,5376,,7,,64,,3,,7,,,,
91330,,2702,,7931,,2,,34,,0,,2,,,,
90263,,1612,,7135,,0,,23,,0,,0,,,,
95211,,1545,,10208,,5,,15,,3,,5,,,,
95226,,84,,15,,43,,565,,15,,34,,,,
95431,,631,,8311,,0,,8,,0,,0,,,,
92135,,571,,1194,,0,,48,,0,,0,,,,
92147,,559,,5796,,1,,10,,0,,1,,,,
95335,,541,,13,,1225,,346200,,4210,,10,,273,,32951
95925,,295,,9,,163,,3331,,207,,111,,,,
95571,,271,,359,,137,,76,,2,,128,,,,
95514,,254,,3,,136,,252500,,8670,,22,,107,,20625
92266,,234,,1,,293,,32595,,68,,119,,,,
93524,,229,,112,,0,,205,,0,,0,,,,
92060,,218,,3,,217,,6962,,207,,116,,,,
96126,,215,,2,,156,,8871,,100,,101,,,,
93220,,211,,8,,69,,2637,,0,,66,,,,
92134,,198,,1069,,13,,19,,0,,13,,,,
95463,,169,,15,,134,,1128,,0,,93,,,,
91980,,165,,46,,49,,358,,0,,41,,,,
94576,,164,,444,,84,,37,,0,,70,,40104,,
95646,,158,,41,,729,,384,,95,,72,,,,
95680,,146,,73,,48,,201,,5,,46,,,,
95978,,143,,23,,71,,633,,0,,55,,,,
92267,,126,,8,,144,,1630,,114,,64,,,,
93627,,123,,3,,29,,3566,,0,,28,,,,
96108,,122,,1,,96,,19803,,149,,57,,,,
95984,,120,,4,,91,,3318,,0,,61,,,,
90822,,117,,720,,4,,16,,0,,2,,,,
95435,,82,,532,,26,,15,,0,,24,,,,
95325,,81,,2,,42,,4071,,5,,33,,,,
95013,,80,,52,,32,,153,,0,,29,,,,
91948,,78,,4,,215,,1984,,6,,44,,,,
95250,,78,,7,,61,,1064,,0,,39,,,,
95604,,75,,187,,117,,40,,0,,34,,,,
95234,,70,,2,,34,,3359,,212,,21,,,,
94128,,69,,20,,0,,352,,1,,0,,,,
92332,,65,,0,,93,,89475,,0,,36,,,,
93592,,64,,0,,44,,15014,,807,,30,,,,
93262,,63,,1,,33,,8959,,32,,2,,,,
93042,,56,,2,,1,,2264,,339,,0,,,,
95679,,55,,1,,36,,4590,,27,,27,,,,
95364,,53,,0,,539,,27197,,441,,21,,,,
94972,,52,,4,,28,,1157,,114,,21,,,,
96123,,48,,0,,40,,20445,,254,,20,,,,
95944,,46,,1,,40,,5051,,12,,27,,,,
95430,,44,,185,,32,,24,,0,,20,,,,
93064,,40,,7,,18,,567,,0,,12,,,,
95721,,37,,3,,505,,1253,,69,,25,,,,
93634,,33,,0,,622,,118471,,2273,,12,,,,
95724,,27,,23,,47,,120,,0,,7,,,,
93633,,25,,1,,256,,2096,,0,,15,,,,
90071,,15,,122,,0,,12,,0,,0,,,,
92338,,12,,0,,5,,24133,,0,,5,,,,
95974,,8,,1,,3,,840,,0,,3,,,,
96155,,8,,0,,88,,3704,,3,,4,,,,
93943,,6,,35,,5,,17,,0,,3,,,,
90099,, -118.245<b,,0,,na,,0,,0,,0,,0,,
90506,,0,,na,,0,,0,,0,,0,,,,
90747,,0,,na,,0,,0,,0,,0,,,,
90831,,0,,na,,0,,0,,0,,0,,,,
90095,,3,,8,,2,,40,,0,,2,,,,
92055,,15655,,159,,388,,9847,,0,,366,,60313,,
92310,,8845,,2871,,2487,,308,,0,,2371,,49778,,
92278,,3846,,4804,,141,,80,,0,,136,,66875,,
94535,,3793,,995,,1238,,381,,1,,826,,50970,,
93437,,3338,,86,,1035,,3880,,11,,858,,65142,,
90089,,3217,,11218,,31,,29,,0,,31,,11750,,
94129,,3183,,1381,,1132,,230,,1,,1086,,143320,,
94720,,2964,,4761,,105,,62,,0,,100,,23304,,
94130,,2880,,3196,,786,,90,,0,,656,,37500,,
95903,,1732,,119,,843,,1451,,1,,382,,40000,,
95652,,739,,196,,223,,377,,0,,191,,29583,,
93529,,633,,21,,825,,3062,,264,,291,,39760,,
95471,,522,,362,,434,,144,,0,,284,,39299,,
93928,,506,,26,,82,,1910,,2,,67,,80707,,
95397,, -118.7<,,327,,9,,403,,3588,,13,,132,,58977
95736,,240,,957,,85,,25,,0,,77,,43375,,
95443,,233,,56,,222,,419,,1,,126,,31848,,
95606,,196,,5,,87,,3632,,0,,78,,178295,,
95559,,182,,10,,110,,1805,,4,,98,,23059,,
95625,,155,,134,,69,,115,,0,,64,,75114,,
96133,,110,,9,,64,,1271,,130,,42,,28257,,
